"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 13 01:00:23 CST 2020","Thu Aug 13 01:00:24 CST 2020","222","case","test_06_question","","","","test_03_deletequestion",""
"passed","Thu Aug 13 01:00:22 CST 2020","Thu Aug 13 01:00:22 CST 2020","293","case","test_04_newarticle","","","","test_02_updatearticle",""
"passed","Thu Aug 13 01:00:23 CST 2020","Thu Aug 13 01:00:23 CST 2020","293","case","test_05_usersertmb","","","","test_01_mb",""
"passed","Tue Aug 11 23:02:35 CST 2020","Tue Aug 11 23:02:36 CST 2020","91","case","test_01_index","","","","test_02_question",""
"passed","Thu Aug 13 01:00:22 CST 2020","Thu Aug 13 01:00:22 CST 2020","310","case","test_04_newarticle","","","","test_01_newarticle",""
"passed","Thu Aug 13 01:00:20 CST 2020","Thu Aug 13 01:00:20 CST 2020","92","case","test_01_index","","","","test_02_questionlist",""
"passed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:21 CST 2020","94","case","test_01_index","","","","test_09_inspirerlist",""
"passed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:22 CST 2020","252","case","test_03_updateheadpic","","","","test_01_xgtx",""
"passed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:21 CST 2020","219","case","test_02_login","","","","test_01_login",""
"passed","Thu Aug 13 01:00:20 CST 2020","Thu Aug 13 01:00:21 CST 2020","86","case","test_01_index","","","","test_04_courselist",""
"passed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:21 CST 2020","92","case","test_01_index","","","","test_07_articlelist",""
"passed","Thu Aug 13 01:00:20 CST 2020","Thu Aug 13 01:00:20 CST 2020","68","case","test_01_index","","","","test_03_version",""
"passed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:21 CST 2020","93","case","test_01_index","","","","test_10_inspiere",""
"failed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:21 CST 2020","75","case","test_01_index","","","","test_05_course",""
"passed","Thu Aug 13 01:00:20 CST 2020","Thu Aug 13 01:00:20 CST 2020","108","case","test_01_index","","","","test_01_lbt",""
"passed","Thu Aug 13 01:00:23 CST 2020","Thu Aug 13 01:00:23 CST 2020","264","case","test_06_question","","","","test_02_updatequestion",""
"passed","Thu Aug 13 01:00:22 CST 2020","Thu Aug 13 01:00:23 CST 2020","235","case","test_04_newarticle","","","","test_03_deletearticle",""
"failed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:21 CST 2020","77","case","test_01_index","","","","test_06_question",""
"passed","Thu Aug 13 01:00:23 CST 2020","Thu Aug 13 01:00:23 CST 2020","241","case","test_06_question","","","","test_01_newquestion",""
"passed","Thu Aug 13 01:00:21 CST 2020","Thu Aug 13 01:00:21 CST 2020","79","case","test_01_index","","","","test_08_article",""
